MOTOR ALTITUDE TEMPERATURE PRESSURE
000 072 23.83 1007.83
000 072 23.83 1007.83
000 072 23.83 1007.83
000 072 23.82 1007.74
000 072 23.82 1007.74
000 072 23.82 1007.74
000 072 23.82 1007.74
000 072 23.83 1007.78
000 072 23.83 1007.78
000 072 23.83 1007.78
160 072 23.83 1007.78
160 072 23.83 1007.73
162 074 23.83 1007.73
162 074 23.83 1007.73
165 074 23.83 1007.73
165 075 23.83 1007.84
168 080 23.83 1007.84
168 082 23.83 1007.84
170 089 23.83 1007.84
170 092 23.83 1007.82
172 104 23.83 1007.82
172 106 23.83 1007.82
177 117 23.83 1007.82
177 125 23.82 1007.83
179 137 23.82 1007.83
179 141 23.82 1007.83
181 151 23.82 1007.83
181 158 23.82 1007.76
182 168 23.82 1007.76
182 171 23.82 1007.76
184 183 23.82 1007.76
184 184 23.80 1007.80
186 195 23.80 1007.80
186 198 23.80 1007.80
186 208 23.80 1007.80
186 210 23.80 1007.81
187 219 23.80 1007.81
187 221 23.80 1007.81
188 229 23.80 1007.81
188 230 23.80 1007.82
189 236 23.80 1007.82
189 241 23.80 1007.82
189 251 23.80 1007.82
189 252 23.80 1007.79
189 261 23.80 1007.79
189 262 23.80 1007.79
189 273 23.80 1007.79
189 276 23.80 1007.78
189 286 23.80 1007.78
189 289 23.80 1007.78
188 294 23.80 1007.78
188 299 23.79 1007.76
188 305 23.79 1007.76
188 310 23.79 1007.76
187 318 23.79 1007.76
187 319 23.78 1007.83
186 327 23.78 1007.83
186 328 23.78 1007.83
185 333 23.78 1007.83
185 334 23.79 1007.81
184 340 23.79 1007.81
183 342 23.79 1007.81
182 344 23.79 1007.81
182 344 23.79 1007.75
181 346 23.79 1007.75
181 347 23.79 1007.75
180 348 23.79 1007.75
180 348 23.80 1007.82
179 349 23.80 1007.82
179 349 23.80 1007.82
178 349 23.80 1007.82
178 349 23.79 1007.80
177 349 23.79 1007.80
177 348 23.79 1007.80
175 346 23.79 1007.80
175 344 23.78 1007.73
175 342 23.78 1007.73
175 342 23.78 1007.73
174 339 23.78 1007.73
174 337 23.77 1007.82
173 334 23.77 1007.82
173 333 23.77 1007.82
172 331 23.77 1007.82
172 330 23.77 1007.80
172 326 23.77 1007.80
172 325 23.77 1007.80
171 322 23.77 1007.80
171 322 23.77 1007.83
171 320 23.77 1007.83
171 318 23.77 1007.83
170 316 23.77 1007.83
170 315 23.77 1007.77
170 312 23.77 1007.77
170 311 23.77 1007.77
169 307 23.77 1007.77
169 306 23.77 1007.82
169 301 23.77 1007.82
169 300 23.77 1007.82
169 296 23.77 1007.82
169 294 23.77 1007.77
169 290 23.77 1007.77
169 289 23.77 1007.77
170 285 23.77 1007.77
170 283 23.77 1007.85
170 280 23.77 1007.85
170 278 23.77 1007.85
170 275 23.77 1007.85
170 273 23.77 1007.73
171 270 23.77 1007.73
171 270 23.77 1007.73
171 267 23.77 1007.73
171 267 23.77 1007.76
171 266 23.77 1007.76
171 266 23.77 1007.76
172 263 23.77 1007.76
172 263 23.77 1007.72
172 263 23.77 1007.72
172 263 23.77 1007.72
173 263 23.77 1007.72
173 264 23.77 1007.85
173 265 23.77 1007.85
173 266 23.77 1007.85
173 268 23.77 1007.85
173 268 23.77 1007.78
174 268 23.77 1007.78
174 268 23.77 1007.78
174 268 23.77 1007.78
174 268 23.77 1007.76
174 269 23.77 1007.76
174 269 23.77 1007.76
175 268 23.77 1007.76
175 268 23.77 1007.78
175 269 23.77 1007.78
175 270 23.77 1007.78
175 270 23.77 1007.78
175 270 23.78 1007.76
175 270 23.78 1007.76
175 271 23.78 1007.76
176 272 23.78 1007.76
176 273 23.77 1007.77
176 275 23.77 1007.77
176 276 23.77 1007.77
176 278 23.77 1007.77
176 278 23.79 1007.84
176 280 23.79 1007.84
176 280 23.79 1007.84
176 282 23.79 1007.84
176 282 23.77 1007.78
176 283 23.77 1007.78
176 282 23.77 1007.78
175 283 23.77 1007.78
175 283 23.77 1007.73
173 282 23.77 1007.73
173 282 23.77 1007.73
171 280 23.77 1007.73
171 280 23.77 1007.81
169 276 23.77 1007.81
169 274 23.77 1007.81
167 270 23.77 1007.81
167 268 23.79 1007.74
165 259 23.79 1007.74
165 256 23.79 1007.74
163 250 23.79 1007.74
163 246 23.77 1007.78
161 235 23.77 1007.78
161 229 23.77 1007.78
159 216 23.77 1007.78
159 211 23.77 1007.80
158 198 23.77 1007.80
157 192 23.77 1007.80
156 177 23.77 1007.80
155 173 23.79 1007.79
154 157 23.79 1007.79
153 149 23.79 1007.79
152 138 23.79 1007.79
151 135 23.77 1007.81
150 120 23.77 1007.81
149 118 23.77 1007.81
148 104 23.77 1007.81
147 099 23.78 1007.76
146 089 23.78 1007.76
145 085 23.78 1007.76
144 075 23.78 1007.76
143 073 23.79 1007.78
142 073 23.79 1007.78
141 073 23.79 1007.78
140 073 23.79 1007.78
139 073 23.79 1007.77
138 073 23.79 1007.77
