RTT SRTT RTTd RTO
1772 1772.0 664.5 2968.1000000000004
2494 1862.25 656.3125 3043.6125
1311 1793.34375 612.8203125 2896.4203125000004
1869 1802.80078125 476.1650390625 2659.8978515625
1505 1765.57568359375 422.2677001953125 2525.6575439453127
1450 1726.1287231445312 385.7329559326172 2420.448043823242
1004 1635.8626327514648 447.2653751373291 2440.9403079986573
1283 1591.7548036575317 412.63773226737976 2334.502721738815
1620 1595.2854532003403 315.65693590044975 2163.46793782115
1220 1548.3747715502977 318.83639481291175 2122.280282213539
1701 1567.4529251065105 272.5140648330562 2057.9782418060117
2266 1654.7713094681967 357.19272125774296 2297.718207732134
1312 1611.9248957846721 342.87576488947525 2229.1012725857277
889 1521.559283811588 415.29664462000346 2269.0932441275945
1626 1534.6143733351396 334.3188901312177 2136.3883755713314
2265 1625.912576668247 410.51102343135153 2364.83241884468
1821 1650.2985045847163 350.5586414273346 2281.3040591539184
1453 1625.6361915116267 306.0780289484076 2176.5766436187605
973 1544.0566675726734 372.3226886044741 2214.237507060727
962 1471.2995841260893 406.5669124848779 2203.1200265988696
999 1412.2621361103281 408.2407183912405 2147.095429214561
1465 1418.854369096537 317.7169465192961 1990.7448728312702
1185 1389.6225729594698 289.4433531293395 1910.6206085922809
749 1309.544751339536 357.21870268188866 1952.5384161669358
1203 1296.2266574220941 291.22069136694 1820.423901882586
1073 1268.3233252443324 267.2463498362881 1749.366754949651
999 1234.657909588791 259.34923977441383 1701.486541182736
974 1202.0756708901922 251.53084755335843 1654.8311964862373
1012 1178.3162120289182 230.2271886722484 1592.7251516389654
1105 1169.1516855253035 188.70831288551216 1508.8266487192254
569 1094.1327248346406 272.81441587279426 1585.1986734056702
880 1067.3661342303105 251.45234546217333 1519.9803560622227
968 1054.9453674515216 210.3256009595104 1433.5314491786403
882 1033.3271965200815 195.5759998496532 1385.3639962494572
1085 1039.7862969550713 157.98542564847207 1324.160063122321
848 1015.8130098356874 160.4423216952759 1304.609188887184
715 978.2113836062265 186.13458717301353 1313.2536405176509
805 956.5599606554482 177.4909305436222 1276.0436356339683
506 900.2399655735172 231.67818930109595 1317.2607063154899
1230 941.4599698768276 245.89364950661508 1384.0685389887349
1201 973.9024736422241 241.1946187194053 1408.0527873371536
1037 981.789664436946 194.69854793031746 1332.2470507115174
1487 1044.9409563823278 256.53867185215614 1506.710565716209
809 1015.4483368345368 244.01608809775132 1454.6772954104893
